A0;< 20
A8;< 20 308
AA;< 61
AF;< 20 304
B2;< 32
B3;< 33
B4;< 20 301
B5;< 3BC
B8;< 20 327
B9;< 31
BA;< 6F
BC;< 31 2044 34
BD;< 31 2044 32
BE;< 33 2044 34
C0;41 300
C1;41 301
C2;41 302
C3;41 303
C4;41 308
C5;41 30A
C7;43 327
C8;45 300
C9;45 301
CA;45 302
CB;45 308
CC;49 300
CD;49 301
CE;49 302
CF;49 308
D1;4E 303
D2;4F 300
D3;4F 301
D4;4F 302
D5;4F 303
D6;4F 308
D9;55 300
DA;55 301
DB;55 302
DC;55 308
DD;59 301
E0;61 300
E1;61 301
E2;61 302
E3;61 303
E4;61 308
E5;61 30A
E7;63 327
E8;65 300
E9;65 301
EA;65 302
EB;65 308
EC;69 300
ED;69 301
EE;69 302
EF;69 308
F1;6E 303
F2;6F 300
F3;6F 301
F4;6F 302
F5;6F 303
F6;6F 308
F9;75 300
FA;75 301
FB;75 302
FC;75 308
FD;79 301
FF;79 308
100;41 304
101;61 304
102;41 306
103;61 306
104;41 328
105;61 328
106;43 301
107;63 301
108;43 302
109;63 302
10A;43 307
10B;63 307
10C;43 30C
10D;63 30C
10E;44 30C
10F;64 30C
112;45 304
113;65 304
114;45 306
115;65 306
116;45 307
117;65 307
118;45 328
119;65 328
11A;45 30C
11B;65 30C
11C;47 302
11D;67 302
11E;47 306
11F;67 306
120;47 307
121;67 307
122;47 327
123;67 327
124;48 302
125;68 302
128;49 303
129;69 303
12A;49 304
12B;69 304
12C;49 306
12D;69 306
12E;49 328
12F;69 328
130;49 307
132;< 49 4A
133;< 69 6A
134;4A 302
135;6A 302
136;4B 327
137;6B 327
139;4C 301
13A;6C 301
13B;4C 327
13C;6C 327
13D;4C 30C
13E;6C 30C
13F;< 4C B7
140;< 6C B7
143;4E 301
144;6E 301
145;4E 327
146;6E 327
147;4E 30C
148;6E 30C
149;< 2BC 6E
14C;4F 304
14D;6F 304
14E;4F 306
14F;6F 306
150;4F 30B
151;6F 30B
154;52 301
155;72 301
156;52 327
157;72 327
158;52 30C
159;72 30C
15A;53 301
15B;73 301
15C;53 302
15D;73 302
15E;53 327
15F;73 327
160;53 30C
161;73 30C
162;54 327
163;74 327
164;54 30C
165;74 30C
168;55 303
169;75 303
16A;55 304
16B;75 304
16C;55 306
16D;75 306
16E;55 30A
16F;75 30A
170;55 30B
171;75 30B
172;55 328
173;75 328
174;57 302
175;77 302
176;59 302
177;79 302
178;59 308
179;5A 301
17A;7A 301
17B;5A 307
17C;7A 307
17D;5A 30C
17E;7A 30C
17F;< 73
1A0;4F 31B
1A1;6F 31B
1AF;55 31B
1B0;75 31B
1C4;< 44 17D
1C5;< 44 17E
1C6;< 64 17E
1C7;< 4C 4A
1C8;< 4C 6A
1C9;< 6C 6A
1CA;< 4E 4A
1CB;< 4E 6A
1CC;< 6E 6A
1CD;41 30C
1CE;61 30C
1CF;49 30C
1D0;69 30C
1D1;4F 30C
1D2;6F 30C
